Shower,Code,Activity Period,Maximum Date,Maximum S .L.,R.A.,Dec.,km/s,r,Max ZHR,Time,Moon
Quadrantids,QUA,Dec 26-Jan 16,4-Jan,283.3°,15:20,+49.7°,40.2,2.1,120,500,13
Lyrids,LYR,Apr 15-Apr 29,23-Apr,032.4°,18:10,+33.3°,46.8,2.1,18,400,2
eta Aquarids,ETA,Apr 15-May 27,6-May,046.2°,22:30,-01.1°,65.5,2.4,60,400,15
Southern delta Aquarids,SDA,Jul 18-Aug 21,31-Jul,127.6°,22:42,-16.3°,40.3,3.2,20,300,13
Perseids,PER,Jul 14-Sep 01,13-Aug,140.0°,3:13,+58.0°,58.8,2.6,100,400,27
Orionids,ORI,Sep 26-Nov 22,21-Oct,207.5°,6:21,+15.6°,66.1,2.5,23,500,7
Leonids,LEO,Nov 03-Dec 02,18-Nov,236.0°,10:17,+21.6°,70,2.5,15,500,5
Geminids,GEM,Nov 19-Dec 24,14-Dec,262°0,7:34,+32.3°,33.8,2.6,120,100,2
Ursids,URS,Dec 13-Dec 24,22-Dec,270°5,14:36,+75.3°,33,3,10,500,10
alpha Centaurids,ACE,Feb 03-Feb 20,8-Feb,319°4,14:04,-58.2°,59.3,2,6,500,19
eta Lyrids,ELY,May 06-May 15,10-May,049.6°,19:22,+43.5°,43.9,3,3,400,20
July Pegasids,JPE,Jul 04-Aug 08,11-Jul,108.4°,23:11,+10.8°,64.1,3,5,400,24
alpha Capricornids,CAP,Jul 07-Aug 15,31-Jul,128°,20:26,-09.1°,22,2.5,4,100,13
kappa Cygnids,KCG,Aug 01-Aug 27,14-Aug,141°,19:05,+50.2°,22.2,3,3,2300,28
Aurigids,AUR,Aug 26-Sep 04,1-Sep,158°5,6:04,+39.2°,65.4,2.6,6,400,16
September epsilon Perseids,SPE,Sep 02-Sep 23,10-Sep,167°,3:10,+39.5°,64.2,2.9,5,500,26
Southern Taurids,STA,Sep 23-Nov 12,19-Oct,205.5°,2:36,+10.5°,28.2,2.3,5,0,5
epsilon Geminids,EGE,Sep 27-Nov 08,19-Oct,205.5°,6:45,+28.2°,68.5,3,2,400,5
Leonis Minorids,LMI,Oct 13-Nov 03,21-Oct,208°,10:35,+37.2°,61.4,2.7,2,500,8
Southern Taurids,STA,Oct 11-Dec 08,6-Nov,223°,3:35,+14.4°,27.7,2.3,5,0,23
Northern Taurids,NTA,Oct 13-Dec 02,13-Nov,230°,3:55,+22.8°,27.6,2.3,5,0,0
November Orionids,NOO,Nov 13-Dec 12,30-Nov,248°,6:06,+15.4°,42.3,2.3,3,400,18
sigma Hydrids,HYD,Nov 22-Jan 04,7-Dec,255°,8:17,+02.9°,58.8,2.3,3,300,25
Puppid/Velids,PUP,Dec 01-Dec 15,7-Dec,255°,8:12,-45.0°,40,2.7,10,400,25
Monocerotids,MON,Nov 23-Dec 24,11-Dec,259°,6:44,+08.2°,41,2.3,2,100,29
Coma Berenicids,COM,Dec 05-Feb 04,16-Dec,264°,10:32,+30.0°,64,3,5,500,4
